Random num1,Random num2,Random num3,Random num4
0.368201301,0.215508646,0.390248504,0.115328897
0.996374902,0.723167335,0.500363719,0.182698427
0.169665815,0.316034114,0.822969687,0.493294441
0.877642026,0.65760344,0.777984163,0.586000642
0.886382414,0.448052361,0.546349709,0.62380391
0.80055372,0.370990511,0.891839921,0.972933716
0.381050343,0.229924951,0.706860625,0.090028024
0.191843693,0.74791122,0.945277348,0.802683636
0.509234883,0.973539229,0.642086648,0.624358281
0.732806811,0.015666305,0.870069515,0.054724274
0.127676747,0.441076932,0.317708187,0.199856454
0.563190921,0.273219392,0.093900769,0.138459104
0.24533423,0.685413256,0.894625201,0.096963079
0.844763645,0.212826909,0.831383307,0.681837858
0.100997167,0.430959616,0.466219729,0.509877785
0.708551937,0.795446719,0.81525934,0.80570553
0.832417408,0.205500947,0.576142041,0.954145742
0.727750716,0.969013253,0.28464572,0.534465887
0.240152313,0.662935417,0.659951414,0.627875138
0.339175724,0.922549394,0.307494703,0.849380459
0.790434119,0.544298512,0.768872494,0.733011958
0.259017481,0.289269716,0.367999751,0.255026065
0.931908097,0.152145348,0.52282678,0.03006507
0.487536157,0.112397198,0.30834175,0.143463825
0.37494789,0.139080293,0.458645377,0.110491625
0.483433608,0.971566798,0.564314772,0.499912486
0.814388786,0.68392504,0.672014536,0.247214665
0.719332124,0.302939065,0.608165175,0.089147638
0.951738479,0.794579343,0.917267977,0.772067037
0.275274549,0.908960717,0.956313189,0.015448471
0.055064754,0.664323679,0.643130489,0.53165595
0.145046823,0.266741645,0.501302315,0.254954867
0.583630468,0.707236621,0.564214069,0.899027952
0.010852886,0.685947834,0.73180003,0.332320103
0.341393767,0.604114788,0.725263037,0.654879458
0.859949995,0.069235456,0.664276872,0.408942858
0.338617115,0.214185332,0.87114004,0.336151893
0.062423952,0.186473987,0.340407553,0.193103604
0.922456626,0.359992167,0.054690743,0.603435719
